"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"354","I am looking for a No Fee HSA account! Any takers?

@WellsFargo @BofA_Help @Chase @RegionsNews @USAA_help @askBBT",FALSE,0,NA,"2015-01-27 20:56:59",FALSE,NA,560179684588003328,NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","AlexWorkman",0,FALSE,FALSE,NA,NA,"I am looking for a No Fee HSA account! Any takers?

@WellsFargo @BofA_Help @Chase @RegionsNews @USAA_help @askBBT",0,0,0,"i am looking for a no fee hsa account any takers

     ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"1407","@askBBT did u have problems with your online system????",FALSE,0,"askBBT","2015-01-28 17:02:31",FALSE,NA,560483068008357888,407983874,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PutaendinAndina",0,FALSE,FALSE,0,0,"@askBBT did u have problems with your online system????",-1,0,0," did u have problems with your online system","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"1408","I'd like to thank @askBBT for taking care of me. They did right by this broadcaster and I'm happy to bank with them.",FALSE,0,NA,"2015-01-28 14:33:58",FALSE,NA,560445686593122304,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArkyShea",0,FALSE,FALSE,NA,NA,"I'd like to thank @askBBT for taking care of me. They did right by this broadcaster and I'm happy to bank with them.",4,1,0,"id like to thank  for taking care of me they did right by this broadcaster and im happy to bank with them","1.46871776464786","3.09234031207392","2.06783599555953","19.9715515571679","1.7277074477352","2.78695866252273","joy","41.8659448729645","8.78232285939751","4.76706966291566","positive"
"1409","@askBBT Thanks!!! :-)",FALSE,0,"askBBT","2015-01-28 13:48:31",FALSE,560431644038168576,560434246754779136,407983874,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leexyang85",0,FALSE,FALSE,NA,NA,"@askBBT Thanks!!! :-)",0,0,0," thanks ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1410","@askBBT HI, Good Morning. I sent an email to  Askbbt@bbandt.com regarding a $10.00 maintenance fee that was debited in my account.",FALSE,0,"askBBT","2015-01-28 13:09:46",FALSE,560423868725465088,560424494222024704,407983874,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leexyang85",0,FALSE,FALSE,NA,NA,"@askBBT HI, Good Morning. I sent an email to  Askbbt@bbandt.com regarding a $10.00 maintenance fee that was debited in my account.",1,0,0," hi good morning i sent an email to  askbbtcom regarding a 1000 maintenance fee that was debited in my account","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","8.78232285939751","8.78232285939751","1","neutral"
"1411","@askBBT How do we get rid of the $10.00 maintenance fee due to the bank's incident? I would love for someone to contact me.",FALSE,0,"askBBT","2015-01-28 12:56:58",FALSE,560194688318455808,560421272799416320,407983874,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leexyang85",0,FALSE,FALSE,NA,NA,"@askBBT How do we get rid of the $10.00 maintenance fee due to the bank's incident? I would love for someone to contact me.",1,0,0," how do we get rid of the 1000 maintenance fee due to the banks incident i would love for someone to contact me","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","7.34083555412328","7.34083555412327","joy","9.47547003995745","18.5054868578024","0.512035706640291","negative"
"1412","@askBBT where is my fucking money?",FALSE,0,"askBBT","2015-01-28 06:08:36",FALSE,NA,560318506068361216,407983874,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","TeamFurman",0,FALSE,FALSE,NA,NA,"@askBBT where is my fucking money?",-1,0,0," where is my fucking money","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1413","@askBBT @stcsells same here... Idiot at my branch was acting like it was my fault.  You work at a bank and can't count?! Imbeciles.",FALSE,0,"askBBT","2015-01-28 04:46:18",FALSE,560085747605438464,560297793051721728,407983874,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TH3SCARFATH3R",0,FALSE,FALSE,NA,NA,"@askBBT @stcsells same here... Idiot at my branch was acting like it was my fault.  You work at a bank and can't count?! Imbeciles.",0,0,0,"  same here idiot at my branch was acting like it was my fault  you work at a bank and cant count imbeciles","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","17.9196623384892","35.8723733129322","0.49953935810623","negative"
"1414","@askBBT this processing issue better get fixed, or I will never bank with you again. I had to find out why my money was gone on the news.",FALSE,0,"askBBT","2015-01-28 04:40:20",FALSE,NA,560296290064809984,407983874,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","STsaysstuff",0,FALSE,FALSE,NA,NA,"@askBBT this processing issue better get fixed, or I will never bank with you again. I had to find out why my money was gone on the news.",0,0,0," this processing issue better get fixed or i will never bank with you again i had to find out why my money was gone on the news","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","7.34083555412328","7.34083555412327","sadness","17.9196623384892","17.8123396772424","1.00602518608961","neutral"
"1415","I am expecting @askBBT to pay me back for every overdraft fee I've ever been charged. #thieves #makeitRight",FALSE,0,NA,"2015-01-28 04:22:07",FALSE,NA,560291707653488640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vi_mma",0,FALSE,FALSE,NA,NA,"I am expecting @askBBT to pay me back for every overdraft fee I've ever been charged. #thieves #makeitRight",0,0,0,"i am expecting  to pay me back for every overdraft fee ive ever been charged thieves makeitright","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.2265151579293","9.47547003995745","1.81801167491282","neutral"
