n,Cleaned Text,Emotion,Polarity
1, gonna do this  gonna do that  aint going do nothing,unknown,positive
2, after 10am yes,unknown,positive
3, thanks for response sent two queries on    looking for quick reply,unknown,positive
4, i am in ireland at the moment will you be calling me now,unknown,positive
5, is this a dm ,unknown,positive
6," thank you i forwarded it to the email that you indicated 

ps i find it great the idea of a bg image on your twitter page ",joy,positive
7, my used id is correct i have tried all the passwords that i had and nothing works,unknown,positive
8, says wrong password when i try the forgotten password it says 1 or more information is wrong,unknown,negative
9, hi i tried to dm you but see that you are no longer following us pls follow  when u get a chance thanks sg,sadness,negative
10, thanks im wondering if you can tell me how long after my statement ended the points will post,unknown,neutral
11, thanks i finally got ahold of someone only to learn you dont carry tanzanian currency smh,unknown,positive
12, can i get any reply,sadness,negative
13, im afraid i dont after months of paying the assistance program thing cant even send an electrician to my apt quitting today,fear,neutral
14, this is the bishwanath from india  i got three check of citi bank but  bounced all want actn against payee ,unknown,neutral
15, i actually just got an email thank you though and im guessing my local bank accepts faxes yay,unknown,positive
16, i just opened a student account but my computer died what documents do i need to verify my school status amp also what is the fax ,unknown,negative
17, thankyou,unknown,positive
18, i want to know if citibank stills has a branch here in peru,unknown,positive
19, thx for your prompt reply fortunately the cs based imdonesia has assisted me its my pleasure to be citibank customer ,unknown,positive
20, hi city i just moved to england from the states amp my card is getting declined although i already notified you help please urgent,joy,neutral
21, i cant log into my online banking,unknown,positive
22, hi there if my avaiable spending bal is 20 can a company automatically charge me for a non return product in an amount of 300,joy,positive
23, can someone mp for support issues urgent,unknown,neutral
24, late papa bacha said had cridt card with u he is dead email me on jawadali0595com about balance in his bank ac f any,unknown,negative
25, my mom recently passed away and i need to reconcile her credit card accounts  how should i go about this,unknown,neutral
26,  cant warn people enough to avoid hiltonhonors citicards enough pay annual fee and charge thousands  no rewards,joy,negative
27, hello i wanto to know how to open a saving account in usa from peru i am not a us citizen but i need one so i could buy a house,unknown,negative
28, thankyou still waiting to hear back,unknown,positive
29, need your help wanna close my card but the customer service always been busy,joy,negative
30, id like to get new cash card  i understand there is a mailer promotion for a 100 credit  how can i get this and the card,joy,neutral
31, when do you give the citigold members the 15 ty points bonus for all the prestige card spend,unknown,positive
32, please pass onto  your friends that citi has poor customer service and refuses to listen to customer needs  audiotape to follow,joy,neutral
33,  asked citi to raise our credit limit 16 to make a large purchase but denied great customer with 4 diff accounts poor service,joy,neutral
34,anybody knows bet  and  who has better cs service i was using mainly  till now but they pissed me off,anger,positive
35, thank you for your help,unknown,positive
36, probably not a good idea to employ telephone staff who don‚Äôt speak clearly without a thick rolling filo twang,joy,positive
37, all fixed i had to speak for her resorted to speaking the little tagalog i remember as even i couldn‚Äôt understand their english,unknown,neutral
38,thanks to  for helping me with my issue turns out i was getting a bsod because i tried accessing their site using windows 7 not 8,unknown,positive
39, thanks for calling cheers,unknown,positive
40, it is pretty simple im signed up but the fraud alerts dont come until i try to use my card which is too late,unknown,neutral
41, our australian number is 61732724037 thanks,unknown,positive
42, can i  get checks for my account to pay those who cannot swipe a card,sadness,negative
43, im trying to send an international transfer from australia my bank here says the code 254070116 has changed thanks,unknown,negative
44, why dont i get your fraud alerts promptly on my phone they come after ive tried to use my card that is broken amp unacceptable,sadness,negative
45, hi the swift codeaba has recently changed for the washington dc virginia branches what is it now,unknown,positive
46, is there an email address that i can use to send an email rather than tweeting,unknown,positive
47, btw do you think you will add check ordering this year if so how will i find these new features,unknown,positive
48, vkon‚Ñ ratings 59  190m viewers  diaoyu oil find ads Ä,unknown,positive
49, have att universal card 13yrs never late amp always paid above min citi said no when i requested apr reduction why penalty apr,unknown,neutral
50, vkon‚Ñ ratings 59  190m viewers  diaoyu oil find ads ,unknown,positive
51, its a citi prepaid card which my weekly salary gets put on to from my co bae in san francisco ca,unknown,positive
52, its a citi prepaid card that my weekly salary gets put from bae in san francisco ca,unknown,positive
53, t tried to withdraw 48000 from my card the atm did not dispense any funds and read ‚Äúerror can not dispense cash‚Äù,unknown,positive
54,  475 san mateo avenue san bruno ca 94066 branch with my prepaid citi card the manager was unprofessional and dismissive,unknown,negative
55, i meant making atms at 7eleven do everything atms at branches do,unknown,positive
56,  thought youd like to know that the citigold phone listed in the ipad app 18886850935 is incorrect and is kinda shady,joy,neutral
57, how do i send a secure email from within the citi mobile app,unknown,positive
58, how do order checks from within the citi mobile app how do i do that if i cant do that when will that feature be available,unknown,positive
59, where i can deposit cash and checks larger than mobile allowed of 1k now,unknown,negative
60, i understand and this is a good move but i hope you will compliment this with full service atms 7eleven 12,joy,positive
61, i went this morning to a citibank and they are gonna send my debit card tomorrow thank you,unknown,positive
62, noticed you closed a lot of branches near my town so now the closest branch is 20 miles away whats the reason for this move,joy,positive
63, got a hold of a customer service rep thank you,unknown,positive
64, mi cuenta de correo es jpninopacom,unknown,positive
65, have them test that feature out to see whats wrong,unknown,negative
66, not sure what your it group doesnt understand i dont have time for this virtual account  part of your website isnt working,unknown,positive
67, hi im going abroad and was wondering what number to call to make citibank aware of my new location,unknown,negative
68, this isnt a case of user error amp troubleshooting should not be required youve been notified of the issue please fix it thanks,joy,neutral
69, supposed to receive a wire transfer from someone using your bank just got global reference id how can i check it went through,unknown,negative
70, thank u i just got a call back,unknown,positive
71, here is a novel idea hire customer service people that speak amp understand english  customer support is worst of all time,unknown,positive
72, so i can choose the right card in the future what citi mastercard supports spend alerts on my iphone whenever i swipe,unknown,negative
73, thanks for getting back its a citi dividend world mastercard,unknown,positive
74, trying to reset my password but keep getting long java error messages‚Ä  tried both chrome and safari and same thing for both,unknown,negative
75, thank you have emailed you now,unknown,positive
76, hey tried to dm you but cant as you dont follow me thanks,unknown,positive
77, that was what i was afraid of as i opened in a branch but live outside of the united states thank you,fear,negative
78, what if i dont know my address of the domicile branch where can i find this information,unknown,positive
79,  thats awesome in the words of batman does it come in black,unknown,neutral
80, no answer after 18 minutes,unknown,positive
81, domestic ,unknown,positive
82, hi ive been a client of your bank since almost 1 year and a half ive been having several issues with citibank colombia,unknown,negative
83,need your help  do you know the email address of contact center citibank indonesia im indonesian but now live in germany,joy,positive
84, ok i did that but no offense this isnt a great app very crashy needs to be fixed,anger,neutral
85,it was a great day at  hope everyone enjoyed their weekend well be back tomorrow at 9am et to assist with any questions mb pb,joy,positive
86, good day i would like to ask the position of maria thompson in citi payment processor ii thank you,joy,positive
87, thanks,unknown,positive
88, im not interested in opening a new account on my credit report  capital onechase both allow conversions  for shame,sadness,neutral
89, askciti do they have internacional nomber caus„ im overseas thanks,unknown,positive
90, wow tks  so ill close my account i can not believe that citibank not have a branch closer or aplication mobile,joy,negative
91,,unknown,positive
92, but all atm say only cash withdrawals only my zip code is 07078 can you tell which atm can take my check deposit,unknown,negative
93,  online,unknown,positive
94,  hi how can i apply for a personal loan o lime,unknown,positive
95, moblie app has frozen and i cant get it unstuck what do i do,sadness,negative
96, can you please follow for dm regarding account linking tks,joy,neutral
97, attempting to use your virtual account number webapp and citi tech support says it only runs on firefox on a mac currently wtf,unknown,negative
98,  thanks for info sorry for  previous familyfriends signing wo your authorization will sign myself now  or husband  on acct,sadness,neutral
99,  your being paid by them they are the worst,unknown,negative
100, hey can you help me today,unknown,positive
101, sent,unknown,positive
102, for some reason my debit card said not authorized when i tried to use it logged on to the website amp i cant login what gives,unknown,positive
103,  ufffthey are most annoying i feeltry changing ur address online then let me knw still u feel de deserve ths frm u,anger,neutral
104, i cannot send one that way because the only option i have is to request my agreement,unknown,negative
105, well i would have sent email if your site would  give me more options than to request my account agreement,unknown,neutral
106, i do not want a phone call  i know what the problem is  email sent through my online account,unknown,negative
107,  i am sick of this type of customer services  i was embarrassed in from of other shoppers  keep it close for a while  thanks,disgust,negative
108, glad to hear we were able to help  impressive customer service thanks,joy,positive
109,glad to hear we were able to help  impressive customer service thanks,joy,positive
110,lol sorry person manning the  account dont ask questions you dont want answers to,sadness,negative
111, lol do i sound like i have an account with you you can help me by quitting your job amp telling your boss he should do the same,joy,neutral
