n,Full Text,Score,Very.Pos,Very.Neg,Cleaned Text,Emotion,Polarity
1,@Bzibee It's our pleasure! Please feel free to tweet @ChaseSupport if you ever need assistance in the future. ^SG,2,1,0, its our pleasure please feel free to tweet  if you ever need assistance in the future sg,joy,positive
2,@ChaseSupport oh... I just remembered that I closed the account that earned the interest. I guess I can't look up that 1099-INT online?,0,0,0, oh i just remembered that i closed the account that earned the interest i guess i cant look up that 1099int online,joy,neutral
3,@ChaseSupport thank you for getting back to me. I don't see it online prob cause I refi out of chase. Is there a way to retrieve it online,1,0,0, thank you for getting back to me i dont see it online prob cause i refi out of chase is there a way to retrieve it online,unknown,neutral
4,@UptonSean 2/2 feedback with our developers regarding this update. Feel free to tweet @ChaseSupport if you have any other questions. ^SG,1,0,0, 22 feedback with our developers regarding this update feel free to tweet  if you have any other questions sg,unknown,positive
5,@ChaseSupport Thanks! Checking account Joshua Hickey zip 11211 and 10013 opened account at grand street brooklyn branch in 98 or 99.,1,0,0, thanks checking account joshua hickey zip 11211 and 10013 opened account at grand street brooklyn branch in 98 or 99,unknown,neutral
6,@ChaseSupport  Chase wakes me up well before 8am and asks if I made charges that I didn't and then tells me they're not fraud. Not helpful!,1,0,0,  chase wakes me up well before 8am and asks if i made charges that i didnt and then tells me theyre not fraud not helpful,unknown,neutral
7,@ChaseSupport we got a Chase Southwest card to the same address a day prior? Makes no sense to me.,0,0,0, we got a chase southwest card to the same address a day prior makes no sense to me,unknown,positive
8,"@ChaseSupport Thank you, I just followed you.",1,0,0, thank you i just followed you,unknown,positive
9,"RT @ChaseSupport: Good morning, everyone! We’re always happy to assist our great customers. Tweet us if you need us! ^MB",3,1,0, good morning everyone we’re always happy to assist our great customers tweet us if you need us mb,joy,positive
10,.@ChaseSupport how do you think I received the letter? By definition receipt proves address..,1,0,0, how do you think i received the letter by definition receipt proves address,unknown,positive
11,@ChaseSupport good morning you send out the 1098's?,1,0,0, good morning you send out the 1098s,joy,positive
12,"@Saverocity 2/2 If you have additional questions about the letter you received, please tweet us @ChaseSupport. ^EN",0,0,0, 22 if you have additional questions about the letter you received please tweet us  en,joy,positive
13,@ChaseSupport How do I check my current limits and how would I raise them if I need to?,-1,0,0, how do i check my current limits and how would i raise them if i need to,unknown,negative
14,@DerekBHazelwood It's our pleasure; we want to keep your accounts safe! Feel free to tweet @ChaseSupport if you ever need anything. ^SG,3,1,0, its our pleasure we want to keep your accounts safe feel free to tweet  if you ever need anything sg,unknown,positive
15,@ChaseSupport no please just add more moneys to my account.  im broke,-1,0,0, no please just add more moneys to my account  im broke,joy,neutral
16,"@ChaseSupport seriously the worst fraud protection going, second time in the last 6 months you are blaming me for an authorized charges",-1,0,0, seriously the worst fraud protection going second time in the last 6 months you are blaming me for an authorized charges,unknown,negative
17,@ChaseSupport Tried calling card member services for the past 8 hours. Says that u are experiencing technical problems. Can't get through.,-1,0,0, tried calling card member services for the past 8 hours says that u are experiencing technical problems cant get through,sadness,negative
18,"RT @ChaseSupport: Good morning, everyone! We’re always happy to assist our great customers. Tweet us if you need us! ^MB",3,1,0, good morning everyone we’re always happy to assist our great customers tweet us if you need us mb,joy,positive
