"","x"
"1","Alright @ChaseSupport, I have @Ask_WellsFargo now. Received this $300 Checking Bonus thing in the mail. Why should I bank with you over WF?"
"2","Always thankful when my homeowners are given assistance by you guys...@BofA_Help @Ask_WellsFargo (^sp)"
"3","@Ask_WellsFargo : Do you normally e mail asking for address corrections for debit card [normal expire] renewals? 
Thanks
Mike"
"4","@Ask_WellsFargo can't spend my money in large quantities apparently, real annoying"
"5","@Ask_WellsFargo blocking my card from purchasing without notice !"
"6","RT @Akaskier19: @Ask_WellsFargo how come you folks haven't addressed @yabdi_ali complaint yet?"
"7","@Ask_WellsFargo All the Assistant VP told me was that they will do an interior inspection but we have to start all over :("
"8","@Ask_WellsFargo how come you folks haven't addressed @yabdi_ali complaint yet?"
"9","@Ask_WellsFargo I was told  estimate of value indicated equity in property.  They wouldn't know because an interior inspection  wasn't done"
"10","@Ask_WellsFargo submitted a complete pkg in august with offer. MAJOR  fixer. I sent details &amp; photos with offer. File rejected this week."
"11","I hate @Ask_WellsFargo so so so much."
"12","RT @yabdi_ali: Hey guys do me a favor. Ask @Ask_WellsFargo why they have yet to discipline an employee that repeatedly called me a nigger."
"13","RT @yabdi_ali: Hey guys do me a favor. Ask @Ask_WellsFargo why they have yet to discipline an employee that repeatedly called me a nigger."
"14","Hey guys do me a favor. Ask @Ask_WellsFargo why they have yet to discipline an employee that repeatedly called me a nigger."
"15","@Ask_WellsFargo Once again the drive up ATM is out of service. Cleveland Ave Branch, Santa Rosa. @WellsFargo http://t.co/KC2WHlkQfB"
"16","RT @Ask_WellsFargo: @Jigga_____ Call us to follow-up. For credit card call 1-800-642-4720, for debit card call 1-800-869-3557 or visit a lo…"
"17","@Ask_WellsFargo put in the wrong address on billing info and it put my order on hold and is holding on to the money"
"18","@Ask_WellsFargo Mobile deposit camera function seems to be unsupported for iphone3 wtih 6+ OS. Version WF 12/2014. Telephone support no help"
"19","RT @Ask_WellsFargo: @mannieme0w For assistance, call a banker at 1-800-869-3557 to review your options. There may be ways to waive/discount…"
"20","RT @Ask_WellsFargo: @JoshyMohh Thanks for the additional info, Joshua! Hope you have a great rest of your week! ^JD"
"21","@Ask_WellsFargo @berryjackson213#No Problem like I sed before Thanks u guys are the best#looking for it too be with you Wonderful Good L.T"
"22","RT @Ask_WellsFargo: @E_Ellington What's going on, Eric? ^PC"
"23","@Ask_WellsFargo I have multiple times.your company makes no sense I honestly feel Ud rather have ppl default then help #mistake #wellsfargo"
"24","@Ask_WellsFargo @berryjackson213#Thanks guys for the help"
"25","@Ask_WellsFargo I was. Thank you for asking."
"26","@Ask_WellsFargo no im jk. But yall really do suck as a bank"
"27","@Ask_WellsFargo yall some bitches."
"28","@Ask_WellsFargo k. It'd be rather sad if the twitter page can do more than actually representatives"
"29","@Ask_WellsFargo I've called and since the banker I talked to earlier halved them, he said you weren't able to do anything else"
"30","@Ask_WellsFargo They are saying my ATM card and online access has been unactivated but I don't know why or how."
"31","@Ask_WellsFargo thank you for providing the most horrendous customer service I have ever dealt with. I'm excited to close my account"
"32",".@Ask_WellsFargo delete your account. Thanks."
"33","@Ask_WellsFargo I eventually got fees reversed but not til after talking w/supervisor. Had the same call w/BOA and they reversed w/o hassle"
"34","@Ask_WellsFargo @berryjackson213# am so Sorry I ment to say can i change my pin Number # help me with that"
"35","@Ask_WellsFargo you will not be getting those fees paid back, ever."
"36","RT @Ask_WellsFargo: @EddieJsports That's great! Please feel free to tweet us if you have any questions or concerns. Enjoy the rest of your …"
"37","@Ask_WellsFargo thank you"
"38","@Ask_WellsFargo three overdraft fees that posted today but on file say they posted Sunday. Had money to cover all purchases"
"39",".@Ask_WellsFargo delete your account."
"40","@Ask_WellsFargo <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> 13304 Bruce B Downs Blvd, Tampa, Fl 33612"
"41","@Ask_WellsFargo well, I was just trying to update my mortgage details... I will try tomorrow I guess"
"42","@Ask_WellsFargo The issue is fixed! We are very happy with your service now! Well done, Wells Fargo!"
"43","@MBenson75 and I are VERY happy to see @Ask_WellsFargo take our concerns seriously and correct our problem! They DO care about customers! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"44","@Ask_WellsFargo No worries, your corporation is simply laden with charges. Thank you for reaching out!"
"45","@Ask_WellsFargo they say they do anything to try and help u yet they lie and don't #horrible"
"46","@Ask_WellsFargo still the worse place 2 get a student loan I hope everyone sees this and does not make the same mistake I did by getting1"
"47","RT @Ask_WellsFargo: @LucyBoo_143 Please share more details (no account numbers) about your service experience, as we may be able to help. ^…"
"48","@Ask_WellsFargo that sounds like a trap"
"49","@Ask_WellsFargo oh good! Thank you!"
"50","RT @Ask_WellsFargo: @skycheshure We appreciate your huge thanks! We'll be sure to share this with Gregory and his manager. ^TL"
"51","@Ask_WellsFargo can you close my damn account on Twitter? I would tell you the account number but yall change it so damn much idk what it is"
"52","@Ask_WellsFargo yall change my account type every time I blink like I authorized that, and yall too high!"
"53","@Ask_WellsFargo thanks. Would make the app immensely more convenient"
"54","I wish @Ask_WellsFargo offered paperless billing on @doxo. http://t.co/63ZKgz4m5r"
"55","@Ask_WellsFargo She told me Id have to go to the branch to plead my case."
"56","@Ask_WellsFargo I just DMed you my ph# but Ive spoken to cust svc and they said they wont reverse the fees. Im SO upset"
"57","@Ask_WellsFargo I was told that my deposit I made would be in my account as of last night and it still isn't showing in my balance"
"58","@Ask_WellsFargo $70 is so much, we cant afford it. I called cust svc and they refused to remove the fee. NOT fair!"
"59","@Ask_WellsFargo I was specifically assured thered be NO od fee because my check direct deposits. Now Im out $70! Not my fault your rep lied!"
"60","This feels passive aggressive RT @Ask_WellsFargo @aurelia_nicole Thank you for the feedback. We'll share this with the appropriate area. ^LW"
"61","@Ask_WellsFargo thank you! We need it so bad!"
"62","RT @Ask_WellsFargo: @cammymcphail You'll find links to scholarship sites in the Wells Fargo Community. http://t.co/actuImD6"
"63","RT @Ask_WellsFargo: @cammymcphail You'll find links to scholarship sites in the Wells Fargo Community. http://t.co/actuImD6"
"64","RT @Ask_WellsFargo: @cammymcphail You'll find links to scholarship sites in the Wells Fargo Community. http://t.co/actuImD6"
"65","@Ask_WellsFargo Sounds like we got everything back to normal. I appreciate all of your help!"
"66","@Ask_WellsFargo Okay, I want to start an account with you guys and I wanted to know if you have monthly fees and if so how do I waive them?"
"67","@Ask_WellsFargo in a dispute for a wrong credit card payment. Dispute still in limbo after multiple long calls."
"68","@Ask_WellsFargo more hoops to jump through than a circus clown. Too many stifling underwriter guidelines. Can u help w that? :-)"
"69","@Ask_WellsFargo @consumerist Consumerist- Wells can't cancel checking account I never asked for after 3 phone calls. Want to be told 4th."
"70","@Ask_WellsFargo thank you! Didn't sound right"
"71","@Ask_WellsFargo Gives me checking account never asked 4 w/$10 monthly fee. Can't cancel after 3 phone conversations. http://t.co/wcWYNqahB8"
"72","@Ask_WellsFargo Harrisburg Manager was very accommodating actually when she found out what was going on. She's great."
"73","@Ask_WellsFargo Mount Joy visit 1 time. Harrisburg 3 times."
"74","@Ask_WellsFargo Both times I've tried sending money via someone's email address, it just gets stuck in the middle and won't transfer."
"75","@Ask_WellsFargo http://t.co/ozuMbLOcNC Is the fee only for rushing transfers i.e. 2 day or next day delivery?"
"76","@Ask_WellsFargo received email wanting info verified. Is smrfcs@notify.wellsfargo.com reliable for Wells Fargo? Or is this a scam?"
"77","@Ask_WellsFargo ...and not to avoid customers when they arrive at branch..."
"78","@Ask_WellsFargo issue finally resolved. I'll stay, but train your bankers better on how to correctly fill out Addendum to Certificates."
"79","@Ask_WellsFargo Your employee used his job to hit on and harass my friend"
"80","RT @jcrossley41: @Ask_WellsFargo if you share our mixtape when it drops I'll reopen my account with you @Res_Welker"
"81","@Ask_WellsFargo wait until I'm done with the banker..."
"82","@Ask_WellsFargo what is the routing #"
"83","@Ask_WellsFargo it's always something I'm about to switch banks! The Wells Fargo in oxon hill is the worst"
"84","@Ask_WellsFargo Yall haven't sent me my new cars it's been a month, Yall put the wrong address on my card so I can't order nothing"
"85","@Ask_WellsFargo Good to know -  just seems like a waste of money and plastic to issue 2 cards in 1yr to everyone."
"86","@Ask_WellsFargo my account was closed for not using it. Because I was never sent a new card. After asking 3 times."
"87","RT @Ask_WellsFargo: @LoyalRiches We might be able to assist you. Let us know the reason behind your decision. ^TL"
"88","Dear @WellsFargo @Ask_WellsFargo why would you send me a new debit card in 2015 that doesn’t have chip and pin tech?  Doesn’t make sense…"
"89","@Ask_WellsFargo I have, they say there isn't anything they can do."
"90","@Ask_WellsFargo omg please relax"
"91","RT @Ask_WellsFargo: @lampybergman What's going on? Please tell us about your experience and we'll do our best to assist. ^DW"
"92","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>RT @Ask_WellsFargo: @GucciMalucci Thanks for the love and the positive feedback. ^DQ"
"93","@Ask_WellsFargo Thanks for actually reaching out, though."
"94","@Ask_WellsFargo I think my protest will be heard better by leaving your organization, which also, is incredibly difficult."
