"","text","emotion","polarity"
"1"," its our pleasure please feel free to tweet  if you ever need assistance in the future sg","joy","positive"
"2"," oh i just remembered that i closed the account that earned the interest i guess i cant look up that 1099int online","joy","neutral"
"3"," thank you for getting back to me i dont see it online prob cause i refi out of chase is there a way to retrieve it online","unknown","neutral"
"4"," 22 feedback with our developers regarding this update feel free to tweet  if you have any other questions sg","unknown","positive"
"5"," thanks checking account joshua hickey zip 11211 and 10013 opened account at grand street brooklyn branch in 98 or 99","unknown","neutral"
"6","  chase wakes me up well before 8am and asks if i made charges that i didnt and then tells me theyre not fraud not helpful","unknown","neutral"
"7"," we got a chase southwest card to the same address a day prior makes no sense to me","unknown","positive"
"8"," thank you i just followed you","unknown","positive"
"9"," good morning everyone we’re always happy to assist our great customers tweet us if you need us mb","joy","positive"
"10"," how do you think i received the letter by definition receipt proves address","unknown","positive"
"11"," good morning you send out the 1098s","joy","positive"
"12"," 22 if you have additional questions about the letter you received please tweet us  en","joy","positive"
"13"," how do i check my current limits and how would i raise them if i need to","unknown","negative"
"14"," its our pleasure we want to keep your accounts safe feel free to tweet  if you ever need anything sg","unknown","positive"
"15"," no please just add more moneys to my account  im broke","joy","neutral"
"16"," seriously the worst fraud protection going second time in the last 6 months you are blaming me for an authorized charges","unknown","negative"
"17"," tried calling card member services for the past 8 hours says that u are experiencing technical problems cant get through","sadness","negative"
"18"," good morning everyone we’re always happy to assist our great customers tweet us if you need us mb","joy","positive"
"19"," how does active duty military enroll their cc for scra benefits","unknown","positive"
"20"," good morning i applied for a credit card last month but havent received the card so far can you please help to resend thx","joy","positive"
"21"," i am receiving many emails with erroneous information im not your client so must be a mistake can you help me","unknown","negative"
"22"," hey i was just wondering when i can expect 1099int for my checking account to be available","joy","neutral"
"23"," hellohow may i obtain past statements from 20082010 i no longer have an account thanks","unknown","negative"
"24"," took 50 min but they finally got it they had a tray with cookies and a sign that said “dog food” wonder if that was a prank","surprise","positive"
"25"," 01122015   misc debit dr due to atmdep error what does this mean on my statement costing me 60  who can i speak to","unknown","negative"
"26"," i ve found a visa credit card and wallet with drive lice se of person named jessica ryan from 
durham nc usa  please help","joy","positive"
"27","jamiedimon how many times do i have to leave msg for chasebank rep to call me back re fraud hold poorcustomerservice ","unknown","negative"
"28"," 4841 fenton road flint mi 48507 and g4085 s saginaw st burton mi 48529","unknown","negative"
"29"," we are chase customers and will need a certified check can we get this in the drivethru or do we have to go into the lobby","sadness","negative"
"30"," this could have been said in the dm but i understand the social media pr dont forget your employee put me in this situation","unknown","neutral"
"31"," im not sure i understand the if in your statement how would one find out","unknown","positive"
"32"," do apple stores count as office supply stores for the ink business card","unknown","negative"
"33"," i am trying to refer my brother to get the chase ink card are there any active referral bonuses","joy","negative"
"34"," yes tried it says it requires ios7 which i dont have so now i cant use the app at all anymore","unknown","positive"
"35"," done","unknown","positive"
"36"," i need a phone  to call for questions on applying for a sapphire card  i dont have a chase account","unknown","negative"
"37","thank you  i really appreciate that","joy","positive"
"38"," sorry yes please provide the fax to submit 3rd party authorization letter","joy","positive"
"39"," my last 2 emails never got a response and i dont want to be on the phone with you for another hour  can i get some help","sadness","negative"
"40"," please help im getting no response from you on my customers short sale buyer is about to walk","joy","positive"
"41"," well we never got them after calling chase hey said they would be resend now we have letter saying we wont get them","sadness","negative"
"42"," now follows me but i rather have an answer to why they dont fulfill a part of the offer","joy","positive"
"43"," my question is too long for twitter  is there an 800 number for cust svc re online bill pay","unknown","negative"
"44","wow  never sent the  club passes that came with the cc amp after contacting them they say we wont get any till september","sadness","neutral"
"45"," its gotta happen","unknown","positive"
"46"," thanks just did","unknown","positive"
"47"," faxing 28 pages previously sent via certified mail on 1242014 that chase said didnt get but did get check in same envelope","sadness","negative"
"48","when will    get touch id login","sadness","negative"
"49"," should be following you","unknown","positive"
"50"," thank you for the love we look forward to continue providing you with this level of service have a wonderful…","joy","positive"
"51"," ill share your feedback if we can ever be of any assistance please feel free to tweet us here  tz","joy","positive"
"52"," thanks guys","unknown","positive"
"53"," can you see if my new cc has come through so you can overnight it to me or my hotel this weekend","unknown","positive"
"54"," they’ve called claims dept a few times and can’t seem to figure it out","unknown","negative"
"55"," wondering what we have to do to keep our branch in greenville mi alive and working","unknown","positive"
"56"," the executor is a friend of the family that has moved out of state is there a form i can mail her","joy","neutral"
"57"," i’m at the bank now and no one can figure out how to get them is there something i should tell them that would help","sadness","negative"
"58","  aliente nlv nv brance had 1 since ive been in nlv 2009 was no reason to call ahead just saying that i was surprised","surprise","neutral"
"59"," my father has passed away how do i claim the funds in his chase banking account i have his will and i am sole beneficiary","unknown","neutral"
"60"," when you send chase quick pay from a nonchase account does it immediately send you email verification that you sent paymnt","unknown","negative"
"61"," dm sent","unknown","positive"
"62"," i will","unknown","positive"
"63"," i figured it out they sent me some form that i have to fill out and return thanks though","unknown","negative"
"64"," should be resolve the technology of your new atms got me edu00a0u00bdedu00b8u0081edu00a0u00bdedu00b8u0081","unknown","positive"
"65"," huge issue closing a short sale that was approved chase closer is not great 3rd approval letter now expired please help","joy","positive"
"66"," do you offer bank accounts to international students studying at us universities","unknown","negative"
"67"," thank you for your respond love this support","joy","positive"
"68"," it really  seems  true regulations can go too far i never had any problem with   and get great  ","joy","negative"
"69"," will do headed your way ","unknown","neutral"
"70","
 hey chase people
so whats the deal with you guys covering broken phones up to 120 days after the purchase 
help","unknown","neutral"
"71"," i need the  to send the authorization letter","unknown","negative"
"72"," radio button to pay my statement balance is grayed outperhaps due to a return i made can only pay current balance or other","unknown","negative"
"73"," thank you","unknown","positive"
"74"," ive sent an email through my account asking about the charges  still waiting for a reply thanks","unknown","negative"
"75"," messaged you guys were you able to figure out why i was charged 25 for a service fee","unknown","neutral"
"76"," i am aware but have you heard of  thru  i want to know if its safe","unknown","positive"
"77"," this was a couple days ago working now using safari on macbook","unknown","positive"
"78","  thanks thats not my email address thats the email address the email came from thanks","unknown","positive"
"79"," dear chase bank after your corrupt bailout i would not do business with you if you were the only bank on earth waste paper","unknown","negative"
"80"," tweeting away the chase apps menu could use some tweaking it still doesnt look like it fits in with the rest of the app","joy","positive"
"81"," i very much appreciate your help","joy","positive"
"82"," no wonder its a cluster mess and has taken 5 months with drunk driver hitting house 10 months ago keep up the good work","joy","neutral"
"83"," doesnt say who is charging me for a service fee or even what service im being charged for i didnt purchase anything","unknown","positive"
"84"," who is handling my settlement file beth called letter saying eric then tracey in corp support cant 1 person do this","unknown","positive"
"85"," hey just got a notification saying my checking was 3 dollars went to check it said 25 was withdrawn for a service fee","unknown","positive"
"86"," done","unknown","positive"
"87"," hello chase i am wondering if it is possible for me to have 2 checking accounts","unknown","positive"
"88"," too many cooks stirring the pot over there fyi needorganiation restructurestaff","unknown","positive"
"89"," beth was rude customerservicetrainingneeded she talked over me and didnt let me write anything down 2 fast attitude invoice","unknown","negative"
"90"," were leaving for the night since our team is located in the buckeye state we want to congratulate the ohio state buc…","joy","positive"
"91"," why did i receive a call from a beth asking for me to make up paperwork that doesnt exist frustratedtonoend irate pissed","anger","negative"
"92"," i have certain questions regarding my account please advise
thanks","joy","neutral"
"93"," i have replied","unknown","positive"
"94"," ok ill explain the joke like last time go bucks bucks youre a bank bank have  youre rooting for ","joy","negative"
"95"," i need help omg edu00a0u00bdedu00b8u00ad chasetotherescue","unknown","neutral"
"96"," never fear the color blue will always hold a special place in our hearts if we can offer our assistance p…","fear","positive"
"97","facts right just handle the  keep it movin  why they tryna be homies  ","unknown","positive"
"98","why they tryna be homies  ","unknown","positive"
