"","x"
"1","The Citi AAdvantage Platinum card would be better if it didn't have foreign transaction fees. They are atrocious! @AskCiti"
"2","@Citi @AskCiti do you have presale tickets to Dave Matthews band at the Xfinity Theatre in Hartford CT June 12, 2015?"
"3","@heralextabata Please follow @AskCiti and send a Direct Message to us at that handle ^JC"
"4","@AskCiti cual link?"
"5","@AskCiti your international banking number +44 2075008500 has been busy all morning too."
"6","@AskCiti just sent you a DM. I am really unimpressed by what happened this morning."
"7","@AskCiti Hi. I have a question about reviving and old card. If it's possible, and if so, how to do it. Can we DM?"
"8","@AskCiti sir more than 2 business days are over.. We are yet to receive resolution"
"9","@AskCiti Hi, Could you please host Citi Mobile India App in Android stores other than Google play? Eg: @amazonappstore @1Mobile @Aptoide"
"10","@AskCiti We are still waiting for a resolution..surprisingly no TAT is being communicated to us for resolution of cr card fraud cases"
"11","@AskCiti Also for the 2 forms of ID, your bank also accept Hong Kong ID card??"
"12","@AskCiti Actually I'm registering bank acc for withdrawing $ from PayPal to a US bank acc. Any chargs if I withdraw $ from PP to my bank acc"
"13","@AskCiti test Love the askciti peeps!"
"14","@mintbills @Citibank isnt refreshing for 5 days now...? @AskCiti @Citi @mintbills"
"15","@AskCiti All set now. I wouldn't have ignored the calls for a week if a msg was left. I don't know anyone who answers unknown #s anymore."
"16","@AskCiti I will choose to look the other direction when offered financing with your Citibank. I do, however, appreciate the prompt response."
"17","@AskCiti But due to the issues that you guys will actually allow to take place on people's accounts..."
"18","@AskCiti I just got off the phone with Haydn/Hayden and I suggest a promotion and raise for that gentleman...My situation has been fixed"
"19","@AskCiti May I just suggest that you hire people that actually care enough to help the customer that calls in? Like Haydn/Hayden(SP?)..."
"20","@AskCiti Thank you (S)citibank for blocking all my cards and account without any reason, #useless #timetochange"
"21","@AskCiti Thanks for the response, I'm sure it will be a great card to use, just couldn't believe there'd be that big a lag time #Thanks"
"22","RT @AskCiti: Good morning everyone! We are now available, please let us know how we  can help. ^YC"
"23","@AskCiti good afternoon. I was wondering if I might get a fee waived. Please call me. Thanks"
"24","@AskCiti Is your citi doublecash credit card a visa or mastercard?"
"25","@AskCiti 1440 Broadway, New York, NY 10018"
