"","x"
"1","@BofA_Help Bank of America

1550 Hudson Bridge Road, Stockbridge, GA"
"2","@BofA_Help can you return the free checking? Or accept @AllyBank ACH? If not, then I'm gone."
"3","@BofA_Help it's time to end this relationship. $12 a month isn't worth it when @AllyBank  and @CapitalOne360 have free checking!!"
"4","@BofA_Help i already send the DM by the way now i'm back to Thailand now"
"5","@BofA_Help  I have called and were told we can't transfer our card balance over the phone or online and we need to do it in person."
"6","@BofA_Help your deposit check feature on your mobile app is a complete joke on Android."
"7","@qyvemuretor We're here on Twitter if you need assistance. Find us @BofA_Help.^sw"
"8","@BofA_Help I'm a long time customer of yours and I'm very disappointed that  I couldn't get a lower interest rate on my credit card!!!"
"9","@BofA_Help Is there something that can be done about your maintenance fees?? I can't afford them &amp; I'm considering finding a new bank."
"10","@BofA_Help I appreciate hearing back. I discussed my concerns with the banker there. Processes should be explained in full ahead of time."
"11","Just went to @BofA_Help ATM still showing full email  come on!"
"12","@BofA_Help I am not happy with the help I receive. I am trying to get rid of my overdraft and I need someone to help me"
"13","Second time @BofA_Community has shut of my card without notifying me. Now stuck with no access to my money. Thanks assholes. @BofA_Help"
"14","@BofA_Help I'm abroad and my ATM card isn't functioning. Says ""invalid pin"" but my pin is correct. Don't have cell service, pls help"
"15","@BofA_Help i want to know can you open the acc for me again to transfer money into the account"
"16","@BofA_Help i have a question. My account is already close but there is still money left that i have to pay $-12.05."
"17","@BofA_Help Please look at the whole case first. You can call me at any time at +995577454313 or DM contact person and I will call. Thanks/T"
"18","@BofA_Help why does the bofa app not see my pay account in billpay? I have one setup, but the app redirects to the instructions..."
"19","@BofA_Help are there anyway to stop the interest charges on purchase  on the CC account?
I will not be using my account for the next6 months"
"20","@BofA_Help thank you for your help"
"21","@BofA_Help how do I remove overdraft protection? I was charged over $175! Stop paying things when I have no money, then charging me for it!"
"22","@BofA_Help  Hasn't been resolved. I'm  waiting on a response."
"23","@BofA_Help You're welcome. Even though the issue was not resolved, thanks for your call."
"24","@BofA_Help One of my checking accounts is missing from my debit card - not linked. I'm unable to make deposits directly into that account."
"25","@BofA_Help I did get on the website, thank you, but you didn't have the card I wanted. :("
"26","@BofA_Help it's just a lot to deal with I wish there were some type of rewards for being a loyal customer or the overdraft fees weren't alot"
"27","@BofA_Help I'm so disappointed with the customer service I just received :("
"28","@BofA_Help no I hate you"
"29","@BofA_Help hi BofA, I fixed the situation this morning. Thank you for being attentive!!"
"30","@BofA_Help yea I called them and resolved my problem."
"31","@BofA_Help I have an existing one tho I just want a new image"
"32",".@BofA_Help I've spent hours on hold today trying to get my card reauthorized. Any recommendations for a new credit card company?"
"33","@BofA_Help Hi it isn't ""phishing"" email it's just SPAM email like home repair, fast cash offers etc. Im assuming BOA shares customer emails"
"34","@BofA_Help suck a fat fuckin sick you thieves!!!!!"
"35","@BofA_Help can you call me right now?"
"36","@BofA_Help Thanks so much for your help!"
"37","@BofA_Help I DMd y'all!!!!!!!!"
"38","@BofA_Help is the biggest money grubbing pieces of shits I've ever had to deal with. Closing my accounts with these jokers in the morning."
"39","@BofA_Help Terry Mandel, 94707, 510.528.9970, 9-5 PT. FYI, my branch is awesome; only wish I could say the same for the rest of BofA.Thanks."
"40","@BofA_Help it's an issue when they can have any access to an account with a reported stolen debit card"
"41","@BofA_Help  I've already reported it.. Told that photo IDs don't mean anything to the bank"
"42","This is why I only bank with #wellsfargo @wellsfargo Bank of America is a peace of shit!! @BofA_Help"
"43","@BofA_Help got the voicemail! Thanks so much"
"44","@BofA_Help all good, I called the regular line and was told my unnecessary fees could not be refunded. I just signed up for a credit union."
"45","@BofA_Help I need assistance with account and I spoke to two customers service reps who were rude! Do you guys have an email address"
"46","@BofA_Help Linda was very rude but I go it taken care of. Service was horrible."
"47","@BofA_Tips I need an email address and someone who is helpful to deal with this issue!!!! @BofA_Help @bankofamerica"
"48","@BofA_Tips I am utterly disappointed with Bank of America customer service they are rude and not helpful! Ineed an email address @BofA_Help"
"49","@BofA_Help they sent a new one its all good homeboy"
"50","RT @BofA_Help: @casslizzle  Have you called for assistance? If you’re still having trouble, I’d like to help. ^db"
"51","@BofA_Help yes I was, thank you!"
"52","@BofA_Help Thanks anyways, but my loan Freddie Mac owned, and the Gov felt it better to not let them take part in principal reduction progs."
"53","@BofA_Help you guys are not helping people but only your pockets. I advise that you do not take any money in my account"
"54","@BofA_Help it is funny how you guys take money in account who doesn't even have money in there"
"55","@BofA_Help can you just put in a new ATM on this side of town very inconvenient that it's never working"
"56","@BofA_Help if I deposit a check into an atm, how much of it is available immediately?"
"57","@BofA_Help @lmfanelli Don't give them any of your info they will probably steal all your $ and murder all your cats"
"58","@BofA_Help  I'm supposed to receive a Wells Fargo sure pay transfer, I registered my email but no transfer has posted yet?"
"59","@BofA_Help @lmfanelli Nowwww are you going to get fined 20 or 25 Billion for your sham of a home mod. program this year??"
"60","@BofA_Help @lmfanelli Your best bet is to close your account with this disgraceful company."
"61","@BofA_Help i cannot DM you if you do not follow me. Correct?"
"62","@BofA_Help thanks, just DMed you."
"63","@BofA_Help I wasn't complaining about boa. I was praising for the ease and speed of help. All was resolved on my end, thx"
"64","@BofA_Help I probably won't."
"65","@BofA_Help can I order it online?"
"66","@BofA_Help No I wasn't. I got a check from a company that banks with you guys. Because I didn't have a account I was charged 6 dollars."
"67","@BofA_Help You can't help. I don't have an account with Bank of America."
"68","@BofA_Help i have a late payment on my CC due the 17th, will pay it tomorrow, not made on account.  can I use my CC tonight?"
"69","@shoeler @BofA_Help this might be my favorite tweet of all time"
"70","@BofA_Help Great, sounds good!"
"71","Thank you!!! “@BofA_Help: @MagicalMeli You can call our international collect # 602-597-2395 from a public telephone."
"72","@BofA_Help nope thats cool I'll pay my card off an go to a credit union soon"
"73","@BofA_Help waiting.."
"74","@BofA_Help...now THAT is how you do customer service. Reached out to us within a day and took care of business! #happycustomer"
"75","@BofA_Help please, help!!"
"76","@BofA_Help how do I choose/ make custom debit card on website? I want a new picture for mine"
"77","@BofA_Help I'll tell you after my class"
"78","@BofA_Help Don't you have to follow me for a DM?"
"79","@BofA_Help i have a late payment on my CC due the 17th, will pay it tomorrow, can I use my CC tonight?"
"80","@BofA_Help I have an @AlaskaAir Visa. Is there a way for me to request a chip-and-pin card that does NOT involve a telephone? :)"
"81","@BofA_Help Y'all tripping"
"82","@BofA_Help yo I need a new debt card! Can I pick one up at my local bank?"
"83","@BofA_Help I listened to the mssg again, and it definitely sounded more like an advert for a Mr. Sanders, so prob nothing. Thx for calling"
"84","@BofA_Help Okay. Thanks."
"85","@BofA_Help uh I made a $9.12 charge with my credit card and then it added on $9.13 for interest"
"86","@BofA_Help Buying a short sale in Mesa, Az.I have an offer accepted by seller and need help getting update and closing from BOA. Help Pls."
"87","@BofA_Help Hey. I just traveled outside of the U.S. And want to use my debit card. How can I contact someone to notify BOA and use it?"
"88","@BofA_Help (cont.) I know the money arrived to BofA already. Is it possible to know when you'll transfer it to the other bank? Thanks!"
"89","@BofA_Help I wired money from my international account to another US bank account, and BofA is the intermediary bank (cont.)"
"90","@BofA_Help Why did you people withdraw 25 dollars from my account when I had 25 cents left?"
"91","@dr_carolan If you have a BofA question or concern, let us know @BofA_Help. ^fa"
"92","@BofA_Help ok it's not missing but it'd be nice if u put it in there for me lol"
"93","@BofA_Help , Yes, everything was taken care of swiftly as soon as I was helped."
"94","@BofA_Help I just got out of work. Please call me back"
"95","@BofA_Help my account is short $100,000 ... Can u help me"
"96","@BofA_Help you can't help me http://t.co/boW487deY3"
"97","@BofA_Help Please advise ASAP, as my bank said BofA refused VISA to claim my stolen funds. Froud was at BofA ATM. http://t.co/XIth8JJTqR"
"98","@BofA_Help @charviarivers U can start by adding staff to your banks. One teller in the entire bank. No drive thru. Waited 4ever for service"
"99","@BofA_Help Yes, thanks!"
"100","@BofA_Help thanks though..."
"101","@BofA_Help the problem is the bank...you literally have a fee for everything...the staff and functionality are great...your bank not so much"
"102","@BofA_Help Pls. advise, my bank is refusing to return my stolen funds as VISA was refused by BofA to return my funds. http://t.co/Xi9QIfrxN5"
"103","@BofA_Help  one thing to be an evicted Dis Vet and that is to be treated like scum by idiots http://t.co/tKhIU6HNoO"
"104","@BofA_Help Look Im switching banks Im not dealing with yall no more...Peace!!!!"
"105","@BofA_Help I have a letter from PayPal explaining the overdraft fee on my account was their fault. Who do I talk to, to get my fee reversed?"
"106","@BofA_Help appreciate you reaching out. My DM's don't seem to be working. Any alternative?"
