"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","text.1","score","very.pos","very.neg","text.2","anger","disgust","fear","joy","sadness","surprise","emotion","pos","neg","pos_neg","polarity"
"1305","@AskSunTrust Thanks so much. Wish their google listing had reflected the times :/",FALSE,0,"AskSunTrust","2015-01-28 15:06:12",FALSE,560442855031050240,560453796862914560,68509753,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_kimrandall",0,FALSE,FALSE,NA,NA,"@AskSunTrust Thanks so much. Wish their google listing had reflected the times :/",0,0,0," thanks so much wish their google listing had reflected the times ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"1306","@AskSunTrust ok, keep me in mind when you are working up a commercial campaign and need a voiceover.. ;)",FALSE,1,"AskSunTrust","2015-01-28 14:18:11",FALSE,560434323137249280,560441711399534592,68509753,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","miketarnow",0,FALSE,FALSE,NA,NA,"@AskSunTrust ok, keep me in mind when you are working up a commercial campaign and need a voiceover.. ;)",0,0,0," ok keep me in mind when you are working up a commercial campaign and need a voiceover ","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","17.1191924966825","0.0602410272345239","negative"
"1307","@AskSunTrust you're welcome, you have the best customer service by far",FALSE,0,"AskSunTrust","2015-01-28 13:45:18",FALSE,560431555899060224,560433435987443712,68509753,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","miketarnow",0,FALSE,FALSE,NA,NA,"@AskSunTrust you're welcome, you have the best customer service by far",2,1,0," youre welcome you have the best customer service by far","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"1308","@AskSunTrust Can you possibly increase the font size and not truncate account names in the mobile app? Very difficult to read.",FALSE,0,"AskSunTrust","2015-01-28 13:22:42",FALSE,NA,560427751082299392,68509753,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","8BitYoda",0,FALSE,FALSE,NA,NA,"@AskSunTrust Can you possibly increase the font size and not truncate account names in the mobile app? Very difficult to read.",-1,0,0," can you possibly increase the font size and not truncate account names in the mobile app very difficult to read","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","17.1191924966825","0.0602410272345239","negative"
"1309","@AskSunTrust if that was the issue..I would of cashed the check elsewhere",FALSE,0,"AskSunTrust","2015-01-28 02:52:23",FALSE,560268697798184960,560269124048551936,68509753,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Katsweat",0,FALSE,FALSE,NA,NA,"@AskSunTrust if that was the issue..I would of cashed the check elsewhere",0,0,0," if that was the issuei would of cashed the check elsewhere","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"1310","@AskSunTrust They didn't tell me that. She said it would be in my acct at the moment",FALSE,0,"AskSunTrust","2015-01-28 02:51:50",FALSE,560268697798184960,560268987763003392,68509753,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Katsweat",0,FALSE,FALSE,NA,NA,"@AskSunTrust They didn't tell me that. She said it would be in my acct at the moment",0,0,0," they didnt tell me that she said it would be in my acct at the moment","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"1311","@AskSunTrust I had to wait the next day for my money to show. My bills don't wait. I'm just frustrated with SunTrust. The cust svc is awful",FALSE,0,"AskSunTrust","2015-01-28 02:47:40",FALSE,560053624823631872,560267937890975744,68509753,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Katsweat",0,FALSE,FALSE,NA,NA,"@AskSunTrust I had to wait the next day for my money to show. My bills don't wait. I'm just frustrated with SunTrust. The cust svc is awful",-2,0,1," i had to wait the next day for my money to show my bills dont wait im just frustrated with suntrust the cust svc is awful","7.34083555412328","3.09234031207392","7.34083555412328","1.02547755260094","1.7277074477352","7.34083555412327","anger","9.47547003995745","26.8423564950873","0.353004403383572","negative"
"1312","@AskSunTrust Did teller told me my deposit would hit right after I put it in the bank. Then I called cust svc &amp; they told me something else",FALSE,0,"AskSunTrust","2015-01-28 02:46:01",FALSE,560053624823631872,560267525255331840,68509753,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Katsweat",0,FALSE,FALSE,NA,NA,"@AskSunTrust Did teller told me my deposit would hit right after I put it in the bank. Then I called cust svc &amp; they told me something else",1,0,0," did teller told me my deposit would hit right after i put it in the bank then i called cust svc amp they told me something else","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","8.78232285939751","8.78232285939751","1","neutral"
"1313","@AskSunTrust I'm not sure at this point. I'm not really happy. I had to wait till the next day to pay my bills 1 day late....",FALSE,0,"AskSunTrust","2015-01-28 02:44:40",FALSE,560053624823631872,560267183532818432,68509753,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Katsweat",0,FALSE,FALSE,NA,NA,"@AskSunTrust I'm not sure at this point. I'm not really happy. I had to wait till the next day to pay my bills 1 day late....",1,0,0," im not sure at this point im not really happy i had to wait till the next day to pay my bills 1 day late","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","17.9196623384892","9.47547003995745","1.89116342122587","neutral"
"1314","@AskSunTrust I don't have any questions. I just wish you would stop sending me further into debt by taking my paychecks. Just. Stop.",FALSE,0,"AskSunTrust","2015-01-28 01:25:08",FALSE,559323971657957376,560247168284372992,68509753,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","midtownfilms",0,FALSE,FALSE,NA,NA,"@AskSunTrust I don't have any questions. I just wish you would stop sending me further into debt by taking my paychecks. Just. Stop.",-1,0,0," i dont have any questions i just wish you would stop sending me further into debt by taking my paychecks just stop","1.46871776464786","3.09234031207392","2.06783599555953","1.02547755260094","1.7277074477352","2.78695866252273","unknown","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"1315","@AskSunTrust Seems that wherever customer care gets there info from or input information is not accurate or doesn't update quickly",FALSE,0,"AskSunTrust","2015-01-28 01:21:54",FALSE,560218543883833344,560246355264692224,68509753,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BuiltToCrumble",0,FALSE,FALSE,NA,NA,"@AskSunTrust Seems that wherever customer care gets there info from or input information is not accurate or doesn't update quickly",1,0,0," seems that wherever customer care gets there info from or input information is not accurate or doesnt update quickly","1.46871776464786","3.09234031207392","2.06783599555953","7.34083555412328","1.7277074477352","2.78695866252273","joy","24.2844130953411","0.445453222112551","54.5161913526473","positive"
